Food,Grams,Calories,Fat,Carbs,Protein
Cows' milk,100,67.62,4.1,4.92,3.28
Milk skim,100,36.59,0.0,5.28,3.66
Buttermilk,100,51.63,2.03,5.28,3.66
"Evaporated, undiluted",100,136.9,7.94,9.52,6.35
Powdered milk,100,500.0,27.18,37.86,26.21
"skim, instant",100,341.18,0.0,49.41,35.29
"skim, non-instant",100,341.18,0.0,49.41,35.29
Goats' milk,100,67.62,4.1,4.51,3.28
(1/2 cup ice cream),100,127.78,4.44,12.96,4.44
Cocoa,100,93.25,4.37,10.32,3.17
skim. milk,100,51.2,1.6,5.2,7.2
(cornstarch),100,110.89,4.03,16.13,3.63
Custard,100,114.92,5.65,11.29,5.24
Ice cream,100,159.57,9.57,15.43,3.19
Ice milk,100,144.74,5.26,16.84,4.74
Cream or half-and-half,100,141.67,12.5,4.17,3.33
or whipping,100,361.34,36.97,2.52,1.68
Cheese,100,106.67,4.89,2.67,13.33
uncreamed,100,86.67,0.0,2.67,16.89
Cheddar,100,411.76,35.29,0.0,23.53
"Cheddar, grated cup",100,403.57,33.93,1.79,25.0
Cream cheese,100,375.0,39.29,3.57,7.14
Processed cheese,100,375.0,32.14,0.0,25.0
Roquefort type,100,375.0,32.14,0.0,21.43
Swiss,100,375.0,28.57,0.0,25.0
Eggs raw,100,150.0,12.0,0.0,12.0
Eggs Scrambled or fried,100,171.88,12.5,0.78,10.16
Yolks,100,352.94,29.41,0.0,17.65
Butter,100,714.29,78.57,0.0,0.0
Butter,100,100.89,102.68,105.36,101.79
Butter,100,100.89,102.68,105.36,101.79
Hydrogenated cooking fat,100,665.0,100.0,0.0,0.0
Lard,100,901.82,100.0,0.0,0.0
Margarine,100,719.64,81.25,0.0,0.0
"Margarine, 2 pat or",100,714.29,78.57,0.0,0.0
Mayonnaise,100,733.33,80.0,0.0,0.0
Corn oil,100,892.86,100.0,0.0,0.0
Olive oil,100,892.86,100.0,0.0,0.0
Safflower seed oil,100,892.86,100.0,0.0,0.0
French dressing,100,400.0,40.0,13.33,0.0
Thousand Island sauce,100,500.0,53.33,6.67,0.0
Salt pork,100,783.33,91.67,0.0,5.0
Bacon,100,593.75,50.0,6.25,25.0
Beef,100,288.24,18.82,0.0,27.06
Hamburger,100,288.24,20.0,0.0,24.71
Ground lean,100,217.65,11.76,0.0,28.24
Roast beef,100,458.82,42.35,0.0,18.82
Steak,100,388.24,31.76,0.0,23.53
"Steak, lean, as round",100,258.82,14.12,0.0,28.24
Corned beef,100,217.65,11.76,0.0,25.88
Corned beef hash canned,100,141.18,9.41,7.06,14.12
Corned beef hash Dried,100,205.36,7.14,0.0,33.93
Pot-pie,100,211.45,12.33,14.1,7.93
Corned beef hash Stew,100,78.72,4.26,6.38,6.38
chicken,100,217.65,10.59,0.0,27.06
"Fried, breast or leg and thigh chicken",100,288.24,17.65,0.0,29.41
Roasted chicken,100,290.0,20.0,0.0,25.0
"Chicken livers, fried",100,140.0,14.0,2.3,22.0
"Duck, domestic",100,370.0,28.0,0.0,16.0
"Lamb, chop, broiled",100,417.39,30.43,0.0,20.87
Leg roasted,100,365.12,16.28,0.0,23.26
"Shoulder, braised",100,335.29,27.06,0.0,21.18
"Pork, chop, 1 thick",100,260.0,21.0,0.0,16.0
Ham pan-broiled,100,341.18,25.88,0.0,18.82
"Ham, as ",100,298.25,22.81,0.0,22.81
"Ham, canned, spiced",100,289.47,24.56,1.75,14.04
Pork roast,100,364.71,28.24,0.0,24.71
Pork sausage,100,475.0,44.0,0.0,18.0
Turkey,100,265.0,15.0,0.0,27.0
Veal,100,217.65,10.59,0.0,27.06
Roast,100,358.82,16.47,0.0,15.29
Clams,100,102.35,1.18,2.35,14.12
Cod,100,170.0,5.0,0.0,28.0
Crab meat,100,105.88,2.35,1.18,16.47
Fish sticks fried,100,178.57,8.93,7.14,16.96
Flounder,100,200.0,8.0,0.0,30.0
Haddock,100,158.82,5.88,7.06,18.82
Halibut,100,182.0,8.0,0.0,26.0
Herring,100,211.0,13.0,0.0,22.0
Lobster,100,92.0,1.0,0.0,18.0
Mackerel,100,182.35,10.59,0.0,21.18
Oysters,100,100.43,101.3,102.61,100.87
Oyster stew,100,147.06,7.06,0.0,22.35
Salmon,100,141.18,5.88,0.0,20.0
Sardines,100,211.76,10.59,0.0,25.88
Scallops,100,104.0,8.0,10.0,18.0
Shad,100,200.0,11.76,0.0,23.53
Shrimp,100,129.41,1.18,0.0,27.06
Swordfish,100,180.0,6.0,0.0,27.0
Tuna,100,200.0,8.24,0.0,29.41
Asparagus,100,18.75,0.0,3.12,1.04
Beans,100,20.0,0.0,4.8,0.8
Lima,100,87.5,0.0,15.0,5.0
"Lima, dry, cooked",100,135.42,0.0,25.0,8.33
"Navy, baked with pork",100,125.0,3.0,18.5,5.5
Red kidney,100,88.46,0.38,16.15,5.77
Bean sprouts,100,34.0,0.0,6.0,2.0
Beet greens,100,27.0,0.0,6.0,2.0
Beetroots,100,0.61,0.0,0.48,7.27
Broccoli,100,30.0,0.0,5.33,3.33
Brussels sprouts,100,46.15,0.0,9.23,4.62
Sauerkraut,100,21.33,0.0,4.67,0.67
Steamed cabbage,100,23.53,0.0,5.29,1.18
Carrots,100,30.0,0.0,6.67,0.67
"Raw, grated",100,40.91,0.0,9.09,0.91
"Strips, from raw",100,40.0,0.0,10.0,0.0
Cauliflower,100,25.0,0.0,5.0,2.5
Celery,100,20.0,0.0,4.0,1.0
Stalk raw,100,12.5,0.0,2.5,2.5
Chard steamed,100,20.0,0.0,4.67,1.33
Collards,100,34.0,0.0,5.33,3.33
Corn,100,92.0,1.0,21.0,3.0
cooked or canned,100,85.0,0.0,20.5,2.5
Cucumbers,100,12.0,0.0,2.0,0.0
Dandelion greens,100,44.44,0.56,8.89,2.78
Eggplant,100,16.67,0.0,5.0,1.11
Endive,100,17.54,0.0,3.51,1.75
Kale,100,40.91,0.91,7.27,3.64
Kohlrabi,100,28.57,0.0,6.43,1.43
"Lambs quarters, steamed",100,32.0,0.0,4.67,3.33
Lentils,100,106.0,0.0,19.0,7.5
Lettuce,100,14.0,0.0,2.0,1.0
Iceberg,100,13.0,0.0,3.0,0.0
Mushrooms canned,100,10.0,0.0,3.33,1.67
Mustard greens,100,21.43,0.0,4.29,2.14
Okra,100,32.0,0.0,7.0,1.0
Onions,100,38.1,0.0,8.57,0.95
"Raw, green",100,44.0,0.0,10.0,0.0
Parsley,100,4.0,0.0,0.0,0.0
Parsnips,100,61.29,0.65,14.19,1.29
Peas,100,66.0,0.0,13.0,3.0
"Fresh, steamed peas",100,70.0,0.0,12.0,5.0
Split cooked peas,100,115.0,0.0,21.0,8.0
heated peas,100,53.0,0.0,10.0,3.0
Peppers canned,100,26.32,0.0,5.26,0.0
"Peppers Raw, green, sweet",100,25.0,0.0,6.0,1.0
Peppers with beef and crumbs,100,170.0,6.0,16.0,12.67
"Potatoes, baked",100,100.0,0.0,22.0,2.0
French-fried,100,258.33,11.67,33.33,0.0
Potatoes Mashed with milk and butter,100,115.0,6.0,14.0,2.0
"Potatoes, pan-tried",100,268.0,14.0,33.0,4.0
Scalloped with cheese potatoes,100,145.0,8.0,14.0,6.0
Steamed potatoes before peeling,100,80.0,0.0,19.0,2.0
Potato chips,100,550.0,35.0,50.0,5.0
Radishes,100,20.0,0.0,4.0,0.0
Rutabagas,100,32.0,0.0,8.0,0.0
Soybeans,100,130.0,5.5,10.0,11.0
Spinach,100,26.0,0.0,3.0,3.0
Squash,100,16.67,0.0,3.81,0.48
"Winter, mashed",100,47.5,0.0,11.5,2.0
Sweet potatoes,100,140.91,0.91,32.73,1.82
Candied,100,134.29,3.43,45.71,1.14
Tomatoes,100,20.83,0.0,3.75,0.83
"Raw, 2 by 2 1/2",100,20.0,0.0,4.0,0.67
Tomato juice,100,20.83,0.0,4.17,0.83
Tomato catsup,100,88.24,0.0,23.53,0.0
Turnip greens,100,31.03,0.69,5.52,2.76
"Turnips, steamed",100,25.81,0.0,5.81,0.65
"Watercress stems, raw",100,18.0,0.0,2.0,2.0
Apple juice canned,100,50.0,0.0,13.6,0.0
Apple vinegar,100,14.0,0.0,3.0,0.0
"Apples, raw",100,53.85,0.0,13.85,0.0
Stewed or canned,100,41.67,0.0,10.83,0.0
Apricots,100,88.0,0.0,22.8,0.8
"Dried, uncooked",100,293.33,0.0,66.67,5.33
Fresh,100,48.25,0.0,12.28,0.88
"Nectar, or juice",100,56.0,0.0,14.4,0.4
Avocado,100,171.3,16.67,5.56,1.85
Banana,100,56.67,0.0,15.33,0.67
Blackberries,100,59.03,0.69,13.19,1.39
Blueberries,100,98.0,0.0,26.0,0.4
Cantaloupe,100,10.53,0.0,2.37,0.26
Cherries,100,38.91,0.39,10.12,0.78
"Fresh, raw",100,57.02,0.0,13.16,0.88
Cranberry sauce sweetened,100,191.34,0.0,51.26,0.0
Dates,100,283.71,0.0,75.28,2.25
Figs,100,285.71,0.0,71.43,4.76
"Fresh, raw figs",100,78.95,0.0,19.3,1.75
figs Canned with syrup ,100,113.04,0.0,27.83,0.87
"Fruit cocktail, canned",100,76.17,0.0,19.53,0.39
Grapefruit sections,100,68.0,0.0,17.6,0.4
"Grapefruit, fresh, 5"" diameter",100,17.54,0.0,4.91,0.35
Grapefruit juice,100,40.0,0.0,9.6,0.4
Grapes,100,45.75,0.0,10.46,0.65
"European, as Muscat, Tokay",100,62.5,0.0,16.25,0.62
Grape juice,100,64.0,0.0,16.8,0.4
Lemon juice,100,24.0,0.0,8.0,0.0
Lemonade concentratefrozen,100,195.45,0.0,50.91,0.0
Limeade concentrate frozen,100,185.78,0.0,49.54,0.0
Olives large,100,110.77,15.38,4.62,1.54
OlivesRipe,100,161.54,20.0,1.54,1.54
"Oranges 3"" diameter",100,33.33,0.0,8.89,1.11
Orange juice,100,44.8,0.0,10.0,0.8
Frozen ,100,157.14,0.0,37.14,0.95
Papaya,100,37.5,0.0,9.0,0.5
Peaches,100,77.82,0.0,20.23,0.39
"Fresh, raw",100,30.7,0.0,8.77,0.88
Pears,100,76.47,0.0,19.61,0.39
"Raw, 3 by 2V",100,54.95,0.55,13.74,0.55
Persimmons,100,60.0,0.0,16.0,0.8
Pineapple,100,77.87,0.0,21.31,0.0
Pineapple Crushed,100,78.85,0.0,21.15,0.38
"Raw, diced",100,53.57,0.0,13.57,0.71
Pineapple juice,100,48.0,0.0,12.8,0.4
Plums,100,72.27,0.0,19.53,0.39
"Raw, 2"" diameter",100,50.0,0.0,11.67,0.0
Prunes,100,111.11,0.37,30.0,1.11
Prune juice,100,70.83,0.0,18.75,0.42
Raisins,100,261.36,0.0,93.18,2.27
Raspberries,100,100.0,0.0,25.0,0.0
"Raw, red",100,57.0,0.0,14.0,0.0
Rhubarb sweetened,100,142.59,0.0,36.3,0.37
Strawberries,100,106.61,0.0,26.43,0.44
Raw,100,36.24,0.0,8.05,0.0
Tangerines,100,35.09,0.0,8.77,0.88
Watermelon,100,12.97,0.11,3.14,0.22
Biscuits,100,342.11,10.53,47.37,7.89
Bran flakes,100,468.0,0.0,128.0,12.0
"Bread, cracked wheat",100,260.87,4.35,52.17,8.7
Rye,100,239.13,4.35,52.17,8.7
Whole-wheat,100,239.13,4.35,47.83,8.7
Corn bread ground meal,100,200.0,8.0,30.0,6.0
Cornflakes,100,440.0,0.0,100.0,8.0
Corn grits cooked,100,49.59,0.0,11.16,3.31
Corn meal,100,305.08,3.39,62.71,7.63
Crackers,100,392.86,7.14,71.43,7.14
"Soda, 2 1/2 square",100,409.09,9.09,72.73,9.09
Farina,100,44.12,0.0,9.24,1.26
Flour,100,418.18,20.0,30.0,35.45
Wheat (all purpose),100,363.64,0.91,76.36,10.91
Wheat (whole),100,325.0,1.67,65.83,10.83
Macaroni,100,110.71,0.71,22.86,3.57
Baked with cheese,100,215.91,11.36,20.0,8.18
Muffins,100,281.25,10.42,39.58,8.33
Noodles,100,125.0,1.25,23.12,4.38
Oatmeal,100,63.56,1.27,11.02,2.12
"Pancakes 4"" diam.",100,231.48,8.33,25.93,6.48
"Wheat, pancakes 4"" diam.",100,231.48,8.33,25.93,6.48
"Pizza 14"" diam.",100,240.0,8.0,30.67,10.67
Popcorn salted,100,542.86,25.0,71.43,10.71
Puffed rice,100,392.86,0.0,85.71,0.0
Puffed wheat presweetened,100,375.0,0.0,92.86,3.57
Rice,100,359.62,1.44,74.04,7.21
Converted,100,362.03,0.0,75.94,7.49
White,100,362.3,0.0,78.53,7.33
Rice flakes,100,383.33,0.0,86.67,6.67
Rice polish,100,264.0,12.0,56.0,12.0
Rolls,100,822.0,24.0,46.0,6.0
of refined flour,100,302.63,5.26,52.63,7.89
whole-wheat,100,255.0,2.5,50.0,10.0
Spaghetti with meat sauce,100,114.0,4.0,14.0,5.2
with tomatoes and cheese,100,84.0,2.0,14.4,2.4
Spanish rice,100,86.8,1.6,16.0,1.6
Shredded wheat biscuit,100,357.14,3.57,82.14,10.71
Waffles,100,320.0,12.0,40.0,10.67
Wheat germ,100,360.29,10.29,50.0,25.0
Wheat-germ cereal toasted,100,400.0,10.77,55.38,30.77
Wheat meal cereal unrefined,100,343.33,3.33,83.33,13.33
"Wheat, cooked",100,137.5,0.5,17.5,6.0
Bean soups,100,76.0,2.0,12.0,3.2
Beef soup,100,40.0,1.6,4.4,2.4
Bouillon,100,10.0,0.0,0.0,2.08
chicken soup,100,30.0,0.8,4.0,1.6
Clam chowder,100,33.33,0.78,4.71,1.96
Cream soups,100,78.43,4.71,7.06,2.75
Noodle,100,46.0,1.6,5.2,2.4
Split-pea soup,100,58.8,1.2,10.0,3.2
Tomato soup,100,71.43,2.86,8.98,2.45
Vegetable,100,32.0,0.8,5.6,1.6
Apple betty,100,150.0,4.0,29.0,1.0
Bread pudding,100,187.0,6.0,28.0,5.5
Cakes,100,275.0,0.0,57.5,7.5
Chocolate fudge,100,350.0,11.67,58.33,4.17
Cupcake,100,320.0,6.0,62.0,6.0
Fruit cake,100,350.0,13.33,56.67,6.67
Gingerbread,100,327.27,12.73,50.91,3.64
"Plain, with no icing",100,327.27,9.09,56.36,7.27
Sponge cake,100,287.5,5.0,55.0,7.5
Candy,100,416.0,12.0,76.0,0.0
Chocolate creams,100,433.33,13.33,80.0,0.0
Fudge,100,411.11,13.33,88.89,0.0
Hard candies,100,321.43,0.0,100.0,0.0
Marshmallows,100,326.67,0.0,76.67,3.33
Milk chocolate,100,517.86,10.71,78.57,3.57
Chocolate syrup,100,200.0,0.0,55.0,0.0
Doughnuts,100,409.09,21.21,51.52,6.06
"Gelatin, made with water",100,64.85,0.0,15.06,1.67
Honey,100,285.71,0.0,71.43,0.0
Ice cream,100,83.33,0.0,0.0,0.0
Ices,100,78.0,0.0,32.0,0.0
preserves,100,275.0,0.0,70.0,0.0
Jellies,100,250.0,0.0,65.0,0.0
Molasses,100,225.0,0.0,55.0,0.0
Cane Syrup,100,250.0,0.0,65.0,0.0
Cherry Pie,100,251.85,9.63,40.74,2.22
Custard,100,203.85,8.46,26.15,5.38
Lemon meringue,100,250.0,10.0,37.5,3.33
Mince,100,251.85,6.67,45.93,2.22
Pumpkin Pie,100,203.85,9.23,26.15,3.85
Puddings Sugar,100,385.0,0.0,99.5,0.0
3 teaspoons sugar,100,416.67,0.0,100.0,0.0
"Brown, firm-packed, dark sugar",100,370.45,0.0,95.45,0.0
Syrup,100,250.0,0.0,62.5,0.0
table blends sugar,100,275.0,0.0,72.5,0.0
Tapioca cream pudding,100,134.0,4.0,16.8,4.0
Almonds,100,607.14,54.29,18.57,18.57
roasted and salted,100,627.14,57.14,18.57,18.57
Brazil nuts,100,652.86,67.14,10.0,14.29
Cashews,100,560.0,45.71,28.57,17.14
coconut sweetened,100,548.0,40.0,52.0,2.0
Peanut butter,100,600.0,50.0,18.0,24.0
"Peanut butter, natural",100,568.0,48.0,16.0,26.0
Peanuts,100,580.0,50.0,18.0,26.0
Pecans,100,659.62,67.31,13.46,9.62
Sesame seeds,100,560.0,48.0,20.0,18.0
Sunflower seeds,100,560.0,52.0,20.0,24.0
Walnuts,100,650.0,64.0,16.0,14.0
Beer,100,47.5,0.0,1.67,0.0
Gin,100,250.0,0.0,0.0,0.0
Wines,100,136.67,0.0,7.5,0.0
Table (12.2% alcohol),100,83.33,0.0,4.17,0.0
Cola drinks,100,39.6,0.0,10.98,0.0
Fruit-flavored soda,100,46.53,0.0,12.14,0.0
Ginger ale,100,30.35,0.0,8.09,0.0
Root beer,100,40.46,0.0,10.12,0.0
Coffee,100,1.3,0.0,0.43,0.0
Tea,100,1.74,0.0,0.43,0.0
